listKind,section,application,cataloguePartNumber,referenceNo,size,pcsPerSet,mrp,priceToDistributors,sellingPrice,stock,firm,validationStatus,reviewReasons,sourcePdf,sourceRow
"HCV","EICHER MOTOR","EICHER MOTOR","MB/NA/EICHER(14 HOLE)/1MM","MB/NA/EICHER(14 HOLE)","1 MM","8","5356","2410","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","50"
"HCV","EICHER MOTOR","EICHER MOTOR","MB/NA/EICHER(14 HOLE)/2MM","MB/NA/EICHER(14 HOLE)","2 MM","8","5460","2457","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","51"
"HCV","ASIA MOTOR WORKS (AMW)","AMW - 14 HOLES","MB/NA/AMW R1/STD","MB/NA/AMW R1","STD","8","4096","1843","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","53"
"HCV","ASIA MOTOR WORKS (AMW)","AMW - 14 HOLES","MB/NA/AMW R1/1MM","MB/NA/AMW R1","1 MM","8","4154","1869","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","54"
"HCV","ASIA MOTOR WORKS (AMW)","AMW - 14 HOLES","MB/NA/AMW R1/2MM","MB/NA/AMW R1","2 MM","8","4230","1904","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","55"
"HCV","TRAILER AXLE","YORK AXLES 12 HOLES","MB/NA/YORK 4515/STD","MB/NA/YORK 4515","STD","8","3678","1655","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","57"
"HCV","TRAILER AXLE","YORK AXLES 12 HOLES","MB/NA/YORK 4515/1MM","MB/NA/YORK 4515","1 MM","8","3780","1701","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","58"
"HCV","TRAILER AXLE","YORK AXLES 12 HOLES","MB/NA/YORK 4515/2MM","MB/NA/YORK 4515","2 MM","8","3886","1749","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","59"
"HCV","TRAILER AXLE","FUWA AXLES 16 HOLES","MB/NA/FUWA 4515/STD","MB/NA/FUWA 4515","STD","8","3676","1654","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","60"
"HCV","TRAILER AXLE","FUWA AXLES 16 HOLES","MB/NA/FUWA 4515/1MM","MB/NA/FUWA 4515","1 MM","8","3780","1701","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","61"
