part_number,part_name,source_rate,selling_price,mrp,moq,uom,firm,validation_status
"4311","BUMPER FOOT STEP (ALUMINIUM) MP4 ACTROS TRUCK","0","","","1","Pcs","Ambaji Traders","READY"
"4841","POWER WINDOW SWITCH TOYOTA (SINGLE) KIJANG KF40, VENTURE, ZACE","0","","","1","PCS","Ambaji Traders","READY"
"6232","DOOR LATCH ROD ONLY M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"7490","DOOR LOCK CYLINDER WITH KEYS M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"7715","DOOR LOCK ASSY TOYOTA  VENTURE REAR","0","","","1","Pcs","Ambaji Traders","READY"
"7735","TRUNKLID LATCH EYE  TOYOTA  VENTURE","0","","","1","PCS","Ambaji Traders","READY"
"7763","TRUNKLID LATCH ASSY. TOYOTA CHINEESE HIACE  INYATHI (SOUTH AFRICA)","0","","","1","PCS","Ambaji Traders","READY"
"7769","DOOR LATCH ASSY. ONLY TOYOTA COROLLA 2003,  CAMRY 2002,  HILUX 2005,  LEXUS,  ALL NEW INNOVA 03, L/C 03, PRIUS- RAV-4-2001  HIACE- H200, 2004,  4 RUNNER 2003","0","","","1","PCS","Ambaji Traders","READY"
"7782","TRUNKLID LATCH ASSY.    TOYOTA COROLLA AE-100, 110","0","","","1","PCS","Ambaji Traders","READY"
"7784","TRUNKLID LATCH ASSY. (WITH 3 RODS)  TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"7785","TRUNKLID LATCH ASSY. WITH (2 RODS + 1 CABLE) TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"7795","TRUNKLID LATCH ASSY. TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"7796","TRUNKLID LATCH ASSY. TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"8107","INSIDE DOOR HANDLE TOYOTA HILUX (DYNA TYPE)","0","","","1","Pcs","Ambaji Traders","READY"
"8147","INSIDE DOOR HANDLE TOYOTA COROLLA ALTIS “09-13”","0","","","1","PCS","Ambaji Traders","READY"
