part_number,part_name,description,brand,category,sku,hsn,gst,moq,uom,source_rate,mrp,selling_price,oem_number,vehicle_make,source_url,source_image_url,validation_status,firm
"31521","BONNET HINGES HEAVY JEEP","BONNET HINGES HEAVY JEEP","CI AUTOMOTIVE LLP","BONNET HINGES","31521","830230","18","1","Pcs","251","","251","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31521.jpg?v=1393","READY","Ambaji Traders"
"31522","DICKEY LATCH ASSY BOLERO N/M","DICKEY LATCH ASSY BOLERO N/M","CI AUTOMOTIVE LLP","DOOR LATCH ASSY.","31522","83012000","18","1","Pcs","383","","383","#0114EAN00201N","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31522.png?v=1393","READY","Ambaji Traders"
"31523L","SIDE VIEW MIRROR WHITE (LH-RH) BOLERO T-2 LH","SIDE VIEW MIRROR WHITE (LH-RH) BOLERO T-2 LH","CI AUTOMOTIVE LLP","SIDE VIEW MIRROR","31523L","70091090","18","1","Pcs","241","","241","#0088630 LH ,#0109BK0030A LH ,#0109BN0021N LH","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31523.jpeg?v=1393","READY","Ambaji Traders"
"31523R","SIDE VIEW MIRROR WHITE (LH-RH) BOLERO T-2 RH","SIDE VIEW MIRROR WHITE (LH-RH) BOLERO T-2 RH","CI AUTOMOTIVE LLP","SIDE VIEW MIRROR","31523R","70091090","18","1","Pcs","241","","241","#0088631 RH ,#0109BK0020A RH ,#0109BN0011N RH","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31523.jpeg?v=1393","READY","Ambaji Traders"
"31524","BONNET HINGES MM 540 5 HOLES","BONNET HINGES MM 540 5 HOLES","CI AUTOMOTIVE LLP","BONNET HINGES","31524","830230","18","1","Pcs","146","","146","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31524.jpg?v=1393","READY","Ambaji Traders"
"31525","DOOR BELT BOLERO","DOOR BELT BOLERO","CI AUTOMOTIVE LLP","SEAT BELTS","31525","87089900","18","1","Pcs","58","","58","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31525.png?v=1393","READY","Ambaji Traders"
"31526","A.C. SWITCH BOLERO, THAR ETC","A.C. SWITCH BOLERO, THAR ETC","CI AUTOMOTIVE LLP","SWITCHES","31526","853650","18","1","Pcs","455","","455","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31526.png?v=1393","READY","Ambaji Traders"
"31527L","OUTER HANDLE CAP SCORPIO N/M,M-HAWK,M-HYBRID W/KEY FRONT LEFT","OUTER HANDLE CAP SCORPIO N/M,M-HAWK,M-HYBRID W/KEY FRONT LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","31527L","83012000","18","1","Pcs","382","","382","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31527.jpg?v=1393","READY","Ambaji Traders"
"31527R","OUTER HANDLE CAP SCORPIO N/M,M-HAWK,M-HYBRID W/KEY FRONT RIGHT","OUTER HANDLE CAP SCORPIO N/M,M-HAWK,M-HYBRID W/KEY FRONT RIGHT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","31527R","83012000","18","1","Pcs","382","","382","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31527.jpg?v=1393","READY","Ambaji Traders"
"31528","GEAR LEVER KNOB SCORPIO","GEAR LEVER KNOB SCORPIO","CI AUTOMOTIVE LLP","GEAR LEVER KNOBS","31528","87089900","18","1","Pcs","333","","333","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31528.jpg?v=1393","READY","Ambaji Traders"
"31529","GEAR LEVER KNOB SCORPIO M-HAWK","GEAR LEVER KNOB SCORPIO M-HAWK","CI AUTOMOTIVE LLP","GEAR LEVER KNOBS","31529","87089900","18","1","Pcs","220","","220","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31529.jpg?v=1393","READY","Ambaji Traders"
"31530","FUEL PUMP ELECTRICAL MTR BOLERO,SCORPIO,DOST","FUEL PUMP ELECTRICAL MTR BOLERO, SCORPIO, DOST","CI AUTOMOTIVE LLP","MOTORS","31530","853650","18","1","Pcs","1020","","1020","","ASHOK LEYLAND; MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31530.jpg?v=1393","READY","Ambaji Traders"
"31531","STEPNEY ROD PICKUP","STEPNEY ROD PICKUP","CI AUTOMOTIVE LLP","RODS","31531","","18","1","Pcs","235","","235","#19000A1530N","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31531.jpg?v=1393","READY","Ambaji Traders"
"31532","HINGES COVER WHITE BOLERO","HINGES COVER WHITE BOLERO","CI AUTOMOTIVE LLP","DOOR HINGES","31532","87089900","18","1","Pcs","100","","100","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31532.jpg?v=1393","READY","Ambaji Traders"
"31533","CRANK SENSOR MAXIMO, PICKUP, CNG","CRANK SENSOR MAXIMO, PICKUP, CNG","CI AUTOMOTIVE LLP","SENSOR","31533","853650","18","1","Pcs","851","","851","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31533.png?v=1393","READY","Ambaji Traders"
"031534L","OUTSIDE DOOR HANDLE JEETO LEFT","OUTSIDE DOOR HANDLE JEETO LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","031534L","87089900","18","1","Pcs","118","","118","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31534.jpg?v=1393","READY","Ambaji Traders"
"031534R,M10","OUTSIDE DOOR HANDLE JEETO RIGHT","OUTSIDE DOOR HANDLE JEETO RIGHT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","031534R,M10","","18","1","Pcs","118","","118","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31534.jpg?v=1393","READY","Ambaji Traders"
"31535L","SIDE VIEW MIRROR WHITE BOLERO T-3 LH","SIDE VIEW MIRROR WHITE BOLERO T-3 LH","CI AUTOMOTIVE LLP","SIDE VIEW MIRROR","31535L","70091090","18","1","Pcs","311","","311","#0109BAN00181N  LH","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31535.jpg?v=1393","READY","Ambaji Traders"
"31535R","SIDE VIEW MIRROR WHITE BOLERO T-3 RH","SIDE VIEW MIRROR WHITE BOLERO T-3 RH","CI AUTOMOTIVE LLP","SIDE VIEW MIRROR","31535R","70091090","18","1","Pcs","311","","311","#0109BAN00171N  RH","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31535.jpg?v=1393","READY","Ambaji Traders"
"31536","SHOCK ABSORBER FRONT SIZE-450 MM (C TO C) BOLERO","SHOCK ABSORBER FRONT SIZE-450 MM (C TO C) BOLERO","CI AUTOMOTIVE LLP","SHOCK ABSORBERS / SHOCKERS","31536","87089900","18","1","Pcs","753","","753","#0403AA0220","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31536.jpeg?v=1393","READY","Ambaji Traders"
"31537","FENDER LINING BOLERO FB WITH GREY COLOR","FENDER LINING BOLERO FB WITH GREY COLOR","CI AUTOMOTIVE LLP","FENDER LININGS","31537","87089900","18","1","Set","853","","853","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31537.jpg?v=1393","READY","Ambaji Traders"
"31538","FENDER LINING BOLERO MAXI (SET OF 2 PCS)","FENDER LINING BOLERO MAXI (SET OF 2 PCS)","CI AUTOMOTIVE LLP","FENDER LININGS","31538","87089900","18","1","Set","853","","853","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31538.jpg?v=1393","READY","Ambaji Traders"
"31539L","SEAT BELT BOLERO TYPE LH","SEAT BELT BOLERO TYPE LH","CI AUTOMOTIVE LLP","SEAT BELTS","31539L","94012000","18","1","Pcs","600","","600","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31539.jpg?v=1393","READY","Ambaji Traders"
"31539R","SEAT BELT BOLERO TYPE RH","SEAT BELT BOLERO TYPE RH","CI AUTOMOTIVE LLP","SEAT BELTS","31539R","94012000","18","1","Pcs","600","","600","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31539.jpg?v=1393","READY","Ambaji Traders"
"31540","BUMPER BRACKET BOLERO TYPE-3 SET OF 4 PCS","BUMPER BRACKET BOLERO TYPE-3 SET OF 4 PCS","CI AUTOMOTIVE LLP","BUMPER BRACKETS","31540","87089900","18","1","Set","541","","541","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31540.jpg?v=1393","READY","Ambaji Traders"
"31541","TEMPRATURE SANSOR BOLERO, PICKUP, SCORPIO, MAXXIMO, SUPRO, TUV, XUV, XYLO ETC","TEMPRATURE SANSOR BOLERO, PICKUP, SCORPIO, MAXXIMO, SUPRO, TUV, XUV, XYLO ETC","CI AUTOMOTIVE LLP","SENSOR","31541","853650","18","1","Pcs","406","","406","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31541.png?v=1393","READY","Ambaji Traders"
"31542","CRANK SENSOR (SPEEDO SENSOR) (DELPHI TYPE) TEMPERATURE SENSOR BOLERO M2DICR SCORPIO S2","CRANK SENSOR (SPEEDO SENSOR) (DELPHI TYPE) TEMPERATURE SENSOR BOLERO M2DICR SCORPIO S2","CI AUTOMOTIVE LLP","SENSOR","31542","853650","18","1","Pcs","716","","716","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31542.png?v=1393","READY","Ambaji Traders"
"31543","CRANK SENSOR (BOSCH TYPE) SCORPIO O/M, XUV, XYLO,GENIO,IMPERIO","CRANK SENSOR (BOSCH TYPE) SCORPIO O/M, XUV, XYLO,GENIO,IMPERIO","CI AUTOMOTIVE LLP","SENSOR","31543","853650","18","1","Pcs","837","","837","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31543.png?v=1393","READY","Ambaji Traders"
