sourceId,sku,name,brand,categoryName,oeCode,hsn,gst,moq,uom,sourcePrice,source_rate,mrp,selling_price,statusSource,vehicleTypes,imageUrl,localImagePath,imageStatus,validationStatus,sourceUrl,firm
"P9135","032259L","OUTSIDE DOOR HANDLE VERNA FLUIDIC N/M W/BASE REAR LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32259.jpeg?v=1393","data/source-catalogue/images/032259L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9136","032259R","OUTSIDE DOOR HANDLE VERNA FLUIDIC N/M W/BASE REAR RIGHT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32259.jpeg?v=1393","data/source-catalogue/images/032259R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9190","032260R","OUTSIDE DOOR HANDLE  ASSY W/BASE W/KEYHOLE AURA .I-10 NIOS FRONT RH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32260.jpeg?v=1393","data/source-catalogue/images/032260R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9191","032261L","OUTSIDE DOOR HANDLE ASSY I-10 NIOS,AURA W/BASE W/O KEYHOLE FRONT LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32261.jpeg?v=1393","data/source-catalogue/images/032261L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9188","032262L","OUTSIDE DOOR HANDLE ASSY I-10 NIOS,AURA W/BASE REAR LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32262.jpeg?v=1393","data/source-catalogue/images/032262L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9189","032262R","OUTSIDE DOOR HANDLE ASSY I-10 NIOS,AURA W/BASE REAR LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32262.jpeg?v=1393","data/source-catalogue/images/032262R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9061","032263R","OUTSIDE DOOR HANDLE ASSY W/BASE W/KEYHOLE CRETA N/M FRONT RH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32263.jpeg?v=1393","data/source-catalogue/images/032263R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9062","032264L","OUTSIDE DOOR HANDLE ASSY CRETA N/M W/BASE W/O KEYHOLE FRONT LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32264.jpeg?v=1393","data/source-catalogue/images/032264L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9059","032265L","OUTSIDE DOOR HANDLE ASSY W/BASE CRETA N/M REAR LH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32265.jpeg?v=1393","data/source-catalogue/images/032265L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9060","032265R","OUTSIDE DOOR HANDLE ASSY W/BASE CRETA N/M REAR RH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32265.jpeg?v=1393","data/source-catalogue/images/032265R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P8966","032266R","OUTSIDE DOOR HANDLE ONLY CHROME   FRONT RH - LH W/KEYHOLE R SUZUKI BALENO, FRONX RH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","440","440","","440","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/32266.jpeg?v=1393","data/source-catalogue/images/032266R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P8969","032267L","OUTSIDE DOOR HANDLE ONLY CHROME   ONLY FRONT LH W/O KEYHOLE R SUZUKI BALENO, FRONX LH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","440","440","","440","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/32267.jpeg?v=1393","data/source-catalogue/images/032267L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P8962","032268L","OUTSIDE DOOR HANDLE ONLY CHROME   REAR SUZUKI BALENO, FRONX LH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","440","440","","440","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/32268.jpeg?v=1393","data/source-catalogue/images/032268L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P8963","032268R","OUTSIDE DOOR HANDLE ONLY CHROME   REAR SUZUKI BALENO, FRONX RH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","440","440","","440","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/32268.jpeg?v=1393","data/source-catalogue/images/032268R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
