status,partNumber,application,oem,category,subcategory,sourceUrl,officialImageUrl,imageFile,mrp,sellingPrice,stock
READY,M-671 B,"EICHER PRO 10.90 XP / 11.10 XP (FAN DIA: 36 MM, HUB COLLAR THREAD M 30*1.5 L.H) (8 HOLE HUB WITH 4 THREADED HOLES AND 4 PLAIN HOLES)",ID 333731,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-671-b,https://mekoautoindia.com/image/catalog/product_images/M-671%20B.2.png,M-671_B.png,,,0
READY,M-671 C,EICHER PRO 1095 XP / 1080 XP / 1059 XP / EICHER CANTER MINI E2 PLUS 11.10 / 11.14 / 10.59 / 11.74 / 10.90 / 10.75 (HUB WITH SHORTER COLLAR),ID 309566,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-671-c,https://mekoautoindia.com/image/catalog/product_images/M-671%20C.2.png,M-671_C.png,,,0
READY,M-671 D,"EICHER CANTER NEW MODEL (FAN DIA: 30 MM, HUB COLLAR THREAD M 24*1.5 L.H) (HUB WITH 4 THREADED HOLES AND 4 PLAIN HOLES)",300778,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-671-d,https://mekoautoindia.com/image/catalog/product_images/M-671D.2.png,M-671_D.png,,,0
READY,M-657,EICHER JUMBO GALAXY 20.16 (HUB WITH NUT ON TOP),ID 000071,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-657,https://mekoautoindia.com/image/catalog/product_images/M-657.2.png,M-657.png,,,0
READY,M-657 A,EICHER JUMBO 20.5 BUS TYPE / EICHER T16. TIPPER TRUCK (HUB WITHOUT NUT ON TOP),ID 311109,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-657-a,https://mekoautoindia.com/image/catalog/product_images/M-657A.2.png,M-657_A.png,,,0
READY,M-657 B,"EICHER CANTER LATEST MODEL (WITH S.G. IRON GRADED PULLEY DIA : 104 MM, IMPELLER DIA : 85 MM)",ID 310316,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-657-b,https://mekoautoindia.com/image/catalog/product_images/M-657B.2.png,M-657_B.png,,,0
READY,M-657 H,EICHER CANTER LATEST MODEL (HIGH DISCHARGE PUMP) (WITH S.G. IRON GRADED PULLEY DIA : 104 MM) (IMPELLER DIA : 92.5 MM) (MOUNTING HOLE COORDINATES DIFFERENT THAN M-657 B),ID 310316,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/m-657-h,https://mekoautoindia.com/image/catalog/product_images/M-657%20H.png,M-657_H.png,,,0
READY,M-657 C,"EICHER PRO 3014 / 3015 / 3016 / 1116 / 1114 PRO (IMPELLER DIA 99 MM, S.G. IRON PULLEY DIA : 104 MM)",ID 335776,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-657-c,https://mekoautoindia.com/image/catalog/product_images/M-657C.2.png,M-657_C.png,,,0
READY,M-557,VOLVO EXCAVATOR 110 / 210 / DEUTZ BFM-1012 / 1013,4299142,Automotive Water Pump Assemblies,EarthMovers,https://mekoautoindia.com/product/m-557,https://mekoautoindia.com/image/catalog/product_images/M-557.2.png,M-557.png,,,0
READY,M-833,MITSUBISHI TRACTOR,,Automotive Water Pump Assemblies,Tractors,https://mekoautoindia.com/product/m-833,https://mekoautoindia.com/image/catalog/product_images/M-833.1.png,M-833.png,,,0
